véiculo,Trajeto,Tempo,Media Tempo,Desvio Tempo,Dist,Media dist,Desvi dis,Kalman ,Media ,Desvio,Sigma 1,Sigma 2,Sigma 3
Spin,Inmetro-EletroNuclear,"6220,993","0,062512","0,249038","80,850132","0,000813","0,00397","30,756863","52,563268","9,032224","8,458824","30,756863","30,756863"
Spin,Gara_Angra3,1268854,"249,823587","427,772465","65882,236058","12,971498","326,5815","-3,87451","52,473445","4,034338","-3,896078","-3,858824","-3,864706"
Spin,Gara_Transporte_Restaurante,"1325,822","0,249866","0,428507","5,684018","0,001072","0,003502","-6,919608","52,900118","6,924376","-6,919608","-6,919608","-6,919608"
Spin,Alojamento1-Transporte,"460,176","0,049819","0,240467","1,260419","0,000136","0,000886","6,15098","77,188765","5,929226","6,15098","6,15098","6,15098"
Spin,Transporte-Alojamento1,"375,058","0,062122","0,232028","1,322383","0,00022","0,001156","3,07451","61,878383","3,857096","3,07451","3,07451","3,07451"
Spin,EletroNuclear_Inmetro,"1367,305","0,086164","0,277356","20,360315","0,001285","0,005706","9,227451","81,492898","6,903418","9,227451","9,227451","9,227451"
Spin,EletroNuclear_Inmetro,"10964,726","0,009213","0,093916","145,337813","0,000122","0,001644","58,439216","82,284682","10,33383","23,068627","58,439216","58,439216"
Van,Alojamento3-Transporte-Controle-Alojamento3_23,"4413,603","0,018384","0,205239","34,683112","0,000145","0,001828",0,100,0,0,0,0
Van,Gara-Controle,"3055,304","0,012222","1,771597","18,225489","0,000073","0,003707","3,05","64,205555","0,550076","0,871111","0,871111","0,871111"
Van,Gara-Controle_2,"4681,667","0,017729","0,118915","46,493373","0,000176","0,001763","7,843333","59,522731","2,077436","3,485556","6,535556","7,843333"
Van,Transporte-Angra1,"750,574","0,019063","0,137173","4,886048","0,000124","0,001355",0,100,0,0,0,0
Van,Transporte-Controle-Posto_15,"5186,324","0,032976","0,313129","34,346071","0,000218","0,004928","7,842222","52,443826","2,746915","4,356667","6,535556","7,842222"
Van,Transporte-Controle-Posto_15,"843,898","0,02203","0,137361","8,530921","0,000223","0,00187","0,001111","46,852965","0,429494",0,0,"0,001111"
Van,Alojamento3-Transporte_7,"892,046","1,014804","0,321169","9,120257","0,010388","0,008729",0,100,0,0,0,0
Van,Angra1-Alojamento1,"2650,792","1,045798","0,8979","23,475571","0,009268","0,008819","5,664444","90,414598","1,674566","2,178889","5,664444","5,664444"
Van,Transporte-Controle_15,"1337,217","1,142876","1,012131","6,589281","0,005637","0,006887","1,307778","81,385956","0,737775","1,307778","1,307778","1,307778"
Van,"Transporte-Controle_15/OBDLink_2,csv","3283,686","1,300315","7,611509","25,650824","0,010163","0,009334","6,535556","77,311281","1,718857","3,486667","5,664444","6,535556"
Van,Transporte-Controle_7/,"5916,758","1,131598","3,130062","47,8262","0,009148","0,008773","9,15","96,388767","2,462327","4,357778","9,15","9,15"
Van,Alojamento1-Controle-Transporte_7,"5194,897","0,113133","0,310389","29,534567","0,000644","0,003218","4,356667","42,976938","1,16404","2,178889","3,05","4,356667"
Van,Alojamento3-Alojamento1,"260,868","0,068259","0,240339","0,229697","0,00006","0,000485","1,296667","47,744662","0,32582",0,0,0
Van,Alojamento3-Alojamento1,"1113,712","0,051639","0,210529","10,478785","0,000486","0,002716","-0,001111","46,366442","0,381232",0,"-0,001111","-0,001111"
Van,Transporte-Alojamento1,"4197,258","0,244115","0,421747","22,884914","0,001332","0,00433","6,972222","36,656355","1,783913","3,05","6,972222","6,972222"
Van,Transporte-Alojamento1,"3032,18","0,250156","0,426655","23,939502","0,001976","0,005544","2,177778","33,126058","0,449678",0,"0,871111","0,871111"
Van,Transporte-Alojamento3,"4081,129","1,074532","1,419384","35,561363","0,009366","0,008458","4,357778","89,26339","1,662896","2,178889","4,357778","4,357778"
